instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
100B_3F_robust_gamma_0d15_theta_0d052,0.05199999999999999,0.15,305053200.04001063,maxTimeLimit,1531121,60721,0.20708911154626156,3600.1189498901367,3655.54,368226396.21064043,,"(0.0,)","(135004.58999999994,)","(5173.53899008903,)",423797768.63424
100B_3F_robust_gamma_0d2_theta_0d052,0.05199999999999999,0.2,292604859.32576215,maxTimeLimit,1531121,60721,0.22606959951600197,3600.1561150550842,3655.58,358753922.6899733,,"(0.0,)","(135004.5899999944,)","(5199.66826152333,)",423797768.63424116
100B_3F_robust_gamma_0d25_theta_0d052,0.05199999999999999,0.25,281293918.85082096,maxTimeLimit,1531121,60721,0.24389691619577497,3600.119666814804,3655.45,349900638.20316076,,"(0.0,)","(135004.58999999997,)","(4623.9789964296215,)",423797768.6342399
100B_3F_robust_gamma_0d3_theta_0d052,0.05199999999999999,0.3,274450200.1730297,maxTimeLimit,1531121,60721,0.23697842657007137,3600.0986909866333,3655.54,339488976.78187543,,"(0.0,)","(135004.5899999996,)","(4129.006360844372,)",423797768.63424015
100B_3F_robust_gamma_0d35_theta_0d052,0.05199999999999999,0.35,268025987.0027562,maxTimeLimit,1531121,60721,0.23364864614479983,3600.1317839622498,3655.54,330649895.9975739,,"(0.0,)","(135004.58999999982,)","(4418.268646156933,)",423797768.6342402
100B_3F_robust_gamma_1d0_theta_0d052,0.05199999999999999,1.0,251119256.3773523,optimal,1531121,60721,0.0003238495227681742,262.6702060699463,317.69,251200581.228688,,"(0.0,)","(135004.59,)","(3315.3682019188186,)",423797768.63424
100B_6F_robust_gamma_0d05_theta_0d052,0.05199999999999999,0.05,383646733.95546144,maxTimeLimit,3061121,120301,0.015890649545794926,3600.256222963333,3715.1,389743129.7541365,,"(0.0,)","(135004.5899999998,)","(8440.02313761801,)",423797768.6342393
100B_6F_robust_gamma_0d1_theta_0d052,0.05199999999999999,0.1,363805436.4176809,maxTimeLimit,3061121,120301,0.04264017695556858,3600.215651988983,3717.93,379318164.6039287,,"(0.0,)","(135004.58999986682,)","(7541.281796989405,)",423797768.6342772
100B_6F_robust_gamma_0d15_theta_0d052,0.05199999999999999,0.15,345813758.9152377,maxTimeLimit,3061121,120301,0.06481526180019034,3600.147931098938,3717.79,368227768.23343676,,"(0.0,)","(135004.58999999973,)","(7799.957459980772,)",423797768.63424027
100B_6F_robust_gamma_0d2_theta_0d052,0.05199999999999999,0.2,337326639.01315683,maxTimeLimit,3061121,120301,0.06352505358410421,3600.2182948589325,3717.72,358755331.8318134,,"(0.0,)","(135004.5899999923,)","(8969.702619839656,)",423797768.63423985
100B_6F_robust_gamma_0d25_theta_0d052,0.05199999999999999,0.25,319261894.6820889,maxTimeLimit,3061121,120301,0.09597168286456975,3600.165223836899,3717.56,349901995.98926,,"(0.0,)","(135004.58999999997,)","(8215.34177343985,)",423797768.63424003
100B_6F_robust_gamma_0d3_theta_0d052,0.05199999999999999,0.3,296881819.0155143,maxTimeLimit,3061121,120301,0.14351958094759149,3600.2341380119324,3717.59,339490173.2715796,,"(0.0,)","(135004.58999999985,)","(6121.976854829096,)",423797768.63424
100B_6F_robust_gamma_0d35_theta_0d052,0.05199999999999999,0.35,285118291.7174845,maxTimeLimit,3061121,120301,0.15969618904443122,3600.331510066986,3720.63,330650596.33162516,,"(0.0,)","(135004.58999999883,)","(6951.233558106444,)",423797768.6342398
100B_6F_robust_gamma_1d0_theta_0d052,0.05199999999999999,1.0,251118557.46953836,optimal,3061121,120301,0.0003244171203881107,882.9108839035034,1000.28,251200024.62882864,,"(0.0,)","(135004.59000000116,)","(3343.3245145170076,)",423797768.63424
50B_3F_deterministic,0,0,138108494.4880756,optimal,390060,29970,0.00024362507620714584,56.108641147613525,68.87,138142141.18057013,,"(302271.6999999999,)","(0.0,)","(1552.372316978165,)",232153802.49600017
50B_6F_deterministic,0,0,138096599.38178033,optimal,780060,59850,0.00035555010516015624,16.452980041503906,42.5,138145699.64221278,,"(302271.69999999984,)","(0.0,)","(2028.1765687898014,)",232153802.49600008
75B_3F_deterministic,0,0,344736131.9542473,optimal,866335,44845,0.0002641248221809899,7.145934104919434,35.95,344827185.3237991,,"(0.0,)","(0.0,)","(3700.291110109597,)",344828639.23199993
75B_6F_deterministic,0,0,344782977.5206706,optimal,1732585,89575,0.000127206467314026,433.0090010166168,491.86,344826836.145231,,"(0.0,)","(0.0,)","(1826.4684531773914,)",344828639.2320002
100B_3F_deterministic,0,0,400316257.02088004,optimal,1530110,59720,0.0019954684282800133,503.76066184043884,554.04,401115075.47309244,,"(0.0,)","(136529.0672947638,)","(2853.319559926616,)",423324473.31539834
100B_6F_deterministic,0,0,399376305.17158777,optimal,3060110,119300,0.0043537800201929105,227.67658877372742,332.62,401115101.7495823,,"(0.0,)","(138435.0,)","(3974.586096491932,)",422732749.8240001
