objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,runtime,best_bound,node_count,gamma,uncertainty,instance,category
10331573.959633395,optimal,950719,148222,7.759935750633316e-05,16.667693853378296,10330772.236132098,,5.0,0.1,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10410816.080910437,optimal,950719,148222,9.945680039889756e-05,11.651609897613525,10409780.654453488,,5.0,0.2,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10489586.69355058,optimal,950719,148222,9.080038197804963e-05,8.113371133804321,10488634.235072013,,5.0,0.3,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10388790.064696789,optimal,950719,148222,8.993723588450052e-05,14.187458038330078,10387855.725634186,,10.0,0.1,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10524783.716417152,optimal,950719,148222,7.451590656953846e-05,12.402760982513428,10523999.452617075,,10.0,0.2,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10660931.265657976,optimal,950719,148222,8.721944780965244e-05,10.771589040756226,10660001.425119849,,10.0,0.3,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10429438.672427483,optimal,950719,148222,7.514148911121131e-05,15.904878854751587,10428654.988875043,,15.0,0.1,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10606295.036444701,optimal,950719,148222,6.405196421328911e-05,15.893747091293335,10605615.682414591,,15.0,0.2,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10783161.794693451,optimal,950719,148222,5.571030390582194e-05,16.875458002090454,10782561.061472803,,15.0,0.3,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10448764.872292034,optimal,950719,148222,8.025408823204941e-05,9.354667901992798,10447926.316194057,,20.0,0.1,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10645087.5290688,optimal,950719,148222,9.685831069098885e-05,11.416843891143799,10644056.463873576,,20.0,0.2,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10840990.965474576,optimal,950719,148222,7.644333036421344e-05,15.429897785186768,10840162.244020727,,20.0,0.3,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10449753.72580293,optimal,950719,148222,9.048780641866511e-05,17.711157083511353,10448808.150510667,,25.0,0.1,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10646383.874166485,optimal,950719,148222,6.258708083564708e-05,16.450550079345703,10645717.548078345,,25.0,0.2,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
10843349.591197845,optimal,950719,148222,5.945583335776153e-05,17.02258801460266,10842704.89081151,,25.0,0.3,instance_Factivel63_B30_F5_T9_30_5_9_202507081703.pkl,robust
