instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
100B_3F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,281293918.85082096,maxTimeLimit,1531121,60721,0.24389691619577497,3600.117800951004,3656.1,349900638.20316076,,"(0.0,)","(135004.58999999997,)","(4623.9789964296215,)",423797768.6342399
100B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,261492259.44245264,maxTimeLimit,1531121,60721,0.17502513561190408,3600.0774710178375,3656.13,307259977.6128311,,"(0.0,)","(135004.58999999997,)","(3914.630087314111,)",423797768.6342401
100B_3F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,253796569.37676263,maxTimeLimit,1531121,60721,0.07725396979112915,3600.200343132019,3656.34,273403361.88048726,,"(0.0,)","(135004.58999999997,)","(3715.2509509697993,)",423797768.6342398
100B_3F_robust_gamma_1_theta_0d05199999999999999,0.05199999999999999,1,251119256.3773523,optimal,1531121,60721,0.0003238495227681742,260.7157120704651,316.67,251200581.228688,,"(0.0,)","(135004.59,)","(3315.3682019188186,)",423797768.63424
100B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,276890353.09727967,maxTimeLimit,3061121,120301,0.10968522161063803,3600.2359268665314,3716.55,307261132.8386026,,"(0.0,)","(135004.5899999998,)","(6306.612083474758,)",423797768.6342402
100B_6F_robust_gamma_0d1_theta_0d05199999999999999,0.05199999999999999,0.1,363805436.4176809,maxTimeLimit,3061121,120301,0.04264017695556858,3600.2377099990845,3719.31,379318164.6039287,,"(0.0,)","(135004.58999986682,)","(7541.281796989405,)",423797768.6342772
100B_6F_robust_gamma_0d15_theta_0d05199999999999999,0.05199999999999999,0.15,345813758.9152377,maxTimeLimit,3061121,120301,0.06481526180019034,3600.1762940883636,3719.48,368227768.23343676,,"(0.0,)","(135004.58999999973,)","(7799.957459980772,)",423797768.63424027
100B_6F_robust_gamma_0d2_theta_0d05199999999999999,0.05199999999999999,0.2,337326639.01315683,maxTimeLimit,3061121,120301,0.06352505358410421,3600.1948561668396,3719.38,358755331.8318134,,"(0.0,)","(135004.5899999923,)","(8969.702619839656,)",423797768.63423985
100B_6F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,319261894.6820889,maxTimeLimit,3061121,120301,0.09597168286456975,3600.1769881248474,3719.05,349901995.98926,,"(0.0,)","(135004.58999999997,)","(8215.34177343985,)",423797768.63424003
100B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,276890353.09727967,maxTimeLimit,3061121,120301,0.10968521806922964,3600.274712085724,3719.79,307261131.8580208,,"(0.0,)","(135004.5899999998,)","(6306.612083474758,)",423797768.6342402
